Player,Country,Matches,Innings,Wickets,Runs,Best-bowling-figure,Strike-Rate,Average,Economy,4-Wickets,Fifer,Starting Year,Ending Year
Ijaz Faqih,Pakistan,27,25,13,819,4/43,85.8,63.0,4.4,1,0,1980,1988
CBRLS Kumara,Sri Lanka,13,13,13,623,2/26,41.8,47.92,6.87,0,0,2017,2019
Majid Khan,Pakistan,23,15,13,374,3/27,50.6,28.76,3.41,0,0,1973,1982
AD Mascarenhas,England,20,20,13,634,3/23,63.2,48.76,4.62,0,0,2007,2009
Minhajul Abedin,Bangladesh,27,18,13,511,2/39,42.0,39.3,5.61,0,0,1986,1999
Mohammad Hussain,Pakistan,14,13,13,547,4/33,51.6,42.07,4.88,1,0,1997,1998
SN Netravalkar,USA,9,9,13,210,5/32,31.0,16.15,3.12,0,1,2019,2019
ASA Perera,Sri Lanka,20,18,13,522,2/25,44.5,40.15,5.4,0,0,1998,2001
MDK Perera,Sri Lanka,13,10,13,409,3/48,35.0,31.46,5.38,0,0,2007,2018
DJ Reekers,Netherlands,19,13,13,436,3/54,39.2,33.53,5.12,0,0,2006,2009
JB Reva,Papua New Guinea,9,9,13,357,3/40,31.1,27.46,5.28,0,0,2016,2018
Sharafuddin Ashraf,Afghanistan,17,17,13,559,3/29,58.7,43.0,4.39,0,0,2014,2019
JN Snape,England,10,10,13,403,3/43,40.6,31.0,4.57,0,0,2001,2002
Sompal Kami,Nepal,6,6,13,247,5/33,23.1,19.0,4.92,0,1,2018,2019
Tareq Aziz,Bangladesh,10,10,13,424,3/19,35.7,32.61,5.47,0,0,2002,2004
S Thuraisingam,Canada,10,10,13,305,4/35,32.3,23.46,4.34,1,0,2003,2008
JJ Tucker,Bermuda,26,21,13,701,2/23,63.0,53.92,5.13,0,0,2006,2009
JJ van der Wath,South Africa,10,10,13,551,2/21,40.4,42.38,6.28,0,0,2006,2007
P Willey,England,26,22,13,659,3/33,79.3,50.69,3.83,0,0,1977,1986
P Wilson,Australia,11,11,13,450,3/39,43.2,34.61,4.8,0,0,1997,1998
Aftab Ahmed,Bangladesh,85,30,12,656,5/31,61.5,54.66,5.32,0,1,2004,2010
Ahsan Malik,Netherlands,12,11,12,408,3/38,39.2,34.0,5.19,0,0,2011,2014
M Azharuddin,India,334,24,12,479,3/19,46.0,39.91,5.2,0,0,1985,2000
WD Balaji Rao,Canada,10,10,12,448,4/57,39.5,37.33,5.67,1,0,2008,2011
HR Bryan,West Indies,15,15,12,518,4/24,60.1,43.16,4.3,1,0,1999,1999
IP Butchart,Zimbabwe,20,16,12,640,3/57,58.5,53.33,5.47,0,0,1983,1995
ADR Campbell,Zimbabwe,188,30,12,434,2/20,42.4,36.16,5.11,0,0,1992,2003
PA Desai,Canada,13,13,12,485,3/35,51.0,40.41,4.75,0,0,2010,2014
AB Dinda,India,13,13,12,612,2/44,49.5,51.0,6.18,0,0,2010,2013
H Durham,Bermuda,9,8,12,343,4/45,33.3,28.58,5.14,1,0,2006,2006
AM Ellis,New Zealand,15,13,12,425,2/22,40.0,35.41,5.31,0,0,2012,2013
RM Ellison,England,14,14,12,510,3/42,58.0,42.5,4.39,0,0,1984,1986
AM Guruge,UAE,7,7,12,337,4/56,29.2,28.08,5.76,1,0,2014,2015
TM Head,Australia,42,26,12,737,2/22,63.7,61.41,5.78,0,0,2016,2018
PA Hitchcock,New Zealand,14,12,12,468,3/30,46.5,39.0,5.03,0,0,2002,2008
AG Hurst,Australia,8,7,12,203,5/21,33.5,16.91,3.02,0,1,1975,1979
Iqbal Qasim,Pakistan,15,14,12,500,3/13,55.3,41.66,4.51,0,0,1977,1988
Kabir Khan,Pakistan,10,9,12,303,2/23,30.9,25.25,4.9,0,0,1994,2000
TP Kamungozi,Zimbabwe,14,13,12,548,2/36,53.0,45.66,5.16,0,0,2006,2015
Khurram Khan,UAE,16,11,12,432,4/32,41.5,36.0,5.2,1,0,2004,2015
RK Kleinveldt,South Africa,10,10,12,448,4/22,42.7,37.33,5.23,1,0,2013,2013
CM Kuggeleijn,New Zealand,16,16,12,604,2/31,68.0,50.33,4.43,0,0,1988,1989
GA Lamb,Zimbabwe,15,15,12,467,3/45,53.5,38.91,4.36,0,0,2010,2011
SG Law,Australia,54,25,12,635,2/22,67.2,52.91,4.72,0,0,1994,1999
RJ McCurdy,Australia,11,11,12,375,3/19,42.9,31.25,4.36,0,0,1985,1985
DR Martyn,Australia,208,31,12,704,2/21,66.1,58.66,5.31,0,0,1992,2006
SF Mire,Zimbabwe,47,19,12,515,4/43,42.2,42.91,6.09,1,0,2014,2019
SO Ngoche,Kenya,14,13,12,431,2/28,47.4,35.91,4.54,0,0,2010,2014
MA Parker,Scotland,10,10,12,327,4/33,34.5,27.25,4.73,1,0,2010,2010
RG Petrie,New Zealand,12,12,12,449,2/25,55.0,37.41,4.08,0,0,1990,1991
PWE Rawson,Zimbabwe,10,10,12,427,3/47,47.5,35.58,4.48,0,0,1983,1987
JD Ryder,New Zealand,48,19,12,412,3/29,33.9,34.33,6.07,0,0,2008,2014
Simi Singh,Ireland,15,12,12,378,3/15,47.5,31.5,3.97,0,0,2017,2019
SR Thompson,Ireland,20,16,12,490,2/17,46.5,40.83,5.25,0,0,2013,2017
AJ Tye,Australia,7,7,12,392,5/46,32.2,32.66,6.07,0,1,2018,2018
I Udana,Sri Lanka,15,15,12,631,2/41,53.2,52.58,5.92,0,0,2012,2019
KEA Upashantha,Sri Lanka,12,12,12,481,4/37,47.0,40.08,5.11,1,0,1995,2001
RR Watson,Scotland,35,17,12,528,3/18,47.5,44.0,5.55,0,0,2006,2010
CL White,Australia,91,19,12,351,3/5,27.5,29.25,6.36,0,0,2005,2018
PJ Wiseman,New Zealand,15,13,12,368,4/45,37.5,30.66,4.9,1,0,1998,2003
Aamer Nazir,Pakistan,9,9,11,346,3/43,37.9,31.45,4.97,0,0,1993,1995
VR Aaron,India,9,9,11,419,3/24,34.5,38.09,6.61,0,0,2011,2014
RW Ali,Kenya,9,9,11,255,3/17,30.7,23.18,4.52,0,0,1996,1997
Amir Hayat,UAE,9,9,11,382,3/19,40.8,34.72,5.1,0,0,2018,2019
LS Baker,West Indies,10,9,11,355,3/47,38.7,32.27,5.0,0,0,2008,2009
RL Chase,West Indies,25,18,11,511,3/30,58.2,46.45,4.78,0,0,2017,2019
R Clarke,England,20,14,11,415,2/28,42.6,37.72,5.3,0,0,2003,2006
HT Davis,New Zealand,11,11,11,436,4/35,39.2,39.63,6.05,1,0,1994,1997
Z Groenewald,Namibia,4,4,11,130,5/20,18.0,11.81,3.93,0,1,2019,2019
HF Gurney,England,10,10,11,432,4/55,41.3,39.27,5.69,1,0,2014,2014
Haris Sohail,Pakistan,41,21,11,613,3/45,58.3,55.72,5.72,0,0,2013,2019
Haseeb Amjad,Hong Kong,7,7,11,288,3/49,31.0,26.18,5.05,0,0,2014,2016
DW Headley,England,13,13,11,520,2/38,54.0,47.27,5.25,0,0,1996,1999
HJ Howarth,New Zealand,9,8,11,280,3/29,44.7,25.45,3.41,0,0,1973,1975
RL Johnson,England,10,9,11,239,3/22,36.5,21.72,3.56,0,0,2003,2003
CL King,West Indies,18,15,11,529,4/23,67.6,48.09,4.26,1,0,1976,1980
NM Kulkarni,India,10,8,11,357,3/27,36.5,32.45,5.32,0,0,1997,1998
RT Latham,New Zealand,33,21,11,386,5/32,40.9,35.09,5.14,0,1,1990,1994
P Lever,England,10,9,11,261,4/35,40.0,23.72,3.55,1,0,1971,1975
AA Mallett,Australia,9,9,11,341,3/34,45.6,31.0,4.07,0,0,1971,1975
MF Malone,Australia,10,10,11,315,2/9,55.6,28.63,3.08,0,0,1977,1982
A Martin,West Indies,9,9,11,296,4/36,40.3,26.9,4.0,1,0,2011,2011
EZ Matambanadzo,Zimbabwe,7,7,11,217,4/32,27.0,19.72,4.38,1,0,1996,1997
M Mbangwa,Zimbabwe,29,29,11,1140,2/24,124.4,103.63,4.99,0,0,1996,2002
DR Parry,West Indies,6,6,11,259,3/47,30.0,23.54,4.7,0,0,1978,1980
RL Powell,West Indies,109,25,11,491,2/5,43.0,44.63,6.22,0,0,1999,2005
TT Samaraweera,Sri Lanka,53,17,11,542,3/34,63.8,49.27,4.63,0,0,1998,2011
Shafiuddin Ahmed,Bangladesh,11,11,11,426,3/42,45.0,38.72,5.16,0,0,1997,2000
DLS van Bunge,Netherlands,37,13,11,329,3/16,30.0,29.9,5.96,0,0,2002,2013
A van der Merwe,Ireland,9,9,11,323,5/49,39.2,29.36,4.48,0,1,2010,2011
JDF Vandersay,Sri Lanka,12,11,11,480,3/50,44.6,43.63,5.86,0,0,2015,2019
AS Wassan,India,9,9,11,283,3/28,38.7,25.72,3.98,0,0,1990,1991
M Zondeki,South Africa,13,12,11,504,2/40,50.7,45.81,5.41,0,0,2002,2008
MW Alleyne,England,10,9,10,280,3/27,36.6,28.0,4.59,0,0,1999,2000
MA Aponso,Sri Lanka,9,9,10,377,4/18,42.3,37.7,5.34,1,0,2016,2018
TD Astle,New Zealand,9,8,10,246,3/33,27.0,24.6,5.46,0,0,2017,2019
DJ Callaghan,South Africa,29,19,10,365,3/32,44.4,36.5,4.93,0,0,1992,2000
A Codrington,Canada,9,8,10,265,5/27,30.0,26.5,5.3,0,1,2003,2007
M de Lange,South Africa,4,4,10,198,4/46,20.9,19.8,5.68,1,0,2012,2016
R Dhanraj,West Indies,6,5,10,170,4/26,26.4,17.0,3.86,1,0,1994,1995
JN Frylinck,Namibia,5,5,10,116,5/13,19.5,11.6,3.56,0,1,2019,2019
MW Gatting,England,92,14,10,336,3/32,39.2,33.6,5.14,0,0,1977,1993
NG Jones,Ireland,14,13,10,234,2/19,38.9,23.4,3.6,0,0,2010,2011
Khawar Ali,Oman,5,5,10,188,4/23,25.8,18.8,4.37,1,0,2019,2019
FJ Klaassen,Netherlands,4,4,10,150,3/30,24.0,15.0,3.75,0,0,2018,2019
RR Kulkarni,India,10,10,10,345,3/42,44.4,34.5,4.66,0,0,1983,1987
DK Liyanage,Sri Lanka,16,16,10,510,3/49,64.2,51.0,4.76,0,0,1992,2001
Mohammad Sharif,Bangladesh,9,9,10,424,3/40,49.9,42.4,5.09,0,0,2001,2007
Mohammad Zahid,Pakistan,11,11,10,391,2/20,51.2,39.1,4.58,0,0,1996,2002
D Mohammed,West Indies,7,6,10,235,3/37,35.3,23.5,3.99,0,0,2006,2008
Naimur Rahman,Bangladesh,29,24,10,904,2/51,109.4,90.4,4.95,0,0,1995,2002
RJ Nicol,New Zealand,22,17,10,329,4/19,33.9,32.9,5.82,1,0,2011,2013
H Patel,Canada,23,16,10,353,4/28,40.9,35.3,5.17,1,0,2009,2013
MJG Rippon,Netherlands,6,6,10,167,4/37,25.2,16.7,3.97,1,0,2013,2018
IH Romaine,Bermuda,35,13,10,355,2/22,32.6,35.5,6.53,0,0,2006,2009
KR Rutherford,New Zealand,121,17,10,323,2/39,38.9,32.3,4.98,0,0,1985,1995
RL Sanghvi,India,10,10,10,399,3/29,49.8,39.9,4.8,0,0,1998,1998
Sanwar Hossain,Bangladesh,27,13,10,327,3/49,38.3,32.7,5.12,0,0,1998,2003
MD Shanaka,Sri Lanka,22,12,10,274,5/43,28.2,27.4,5.82,0,1,2016,2019
G Sharma,India,11,10,10,361,3/29,48.6,36.1,4.45,0,0,1985,1987
TB Sole,Scotland,10,10,10,387,4/15,50.4,38.7,4.6,1,0,2018,2019
MN Waller,Zimbabwe,79,30,10,566,2/44,66.6,56.6,5.09,0,0,2009,2018
Ziaur Rahman,Bangladesh,13,11,10,301,5/30,39.0,30.1,4.63,0,1,2013,2014
KN Amalean,Sri Lanka,8,8,9,207,4/46,35.3,23.0,3.9,1,0,1986,1988
MKDI Amerasinghe,Sri Lanka,8,8,9,363,3/44,47.3,40.33,5.11,0,0,2007,2008
Amjad Javed,UAE,15,15,9,608,3/60,68.6,67.55,5.9,0,0,2008,2017
ML Cummins,West Indies,11,9,9,474,3/82,50.0,52.66,6.32,0,0,2014,2017
KM Curran,Zimbabwe,11,10,9,398,3/65,56.2,44.22,4.71,0,0,1983,1987
MH Dekker,Zimbabwe,23,12,9,290,2/16,38.5,32.22,5.01,0,0,1992,1996
GRA de Silva,Sri Lanka,6,6,9,262,3/41,33.8,29.11,5.15,0,0,1975,1982
PLS Gamage,Sri Lanka,9,9,9,392,4/57,44.6,43.55,5.85,1,0,2014,2017
K Gore,USA,7,7,9,208,4/20,33.3,23.11,4.16,1,0,2019,2019
MP Jarvis,Zimbabwe,12,12,9,451,2/37,66.7,50.11,4.5,0,0,1987,1995
Javed Ahmadi,Afghanistan,44,17,9,319,4/37,44.2,35.44,4.8,1,0,2010,2019
P Khadka,Nepal,6,6,9,164,4/26,28.6,18.22,3.81,1,0,2018,2019
Khaliq Dad,Afghanistan,6,6,9,150,3/30,28.0,16.66,3.57,0,0,2009,2010
RJ Kirtley,England,11,11,9,481,2/33,61.0,53.44,5.25,0,0,2001,2004
T Kumaran,India,8,8,9,348,3/24,42.0,38.66,5.52,0,0,1999,2000
RP Lefebvre,Netherlands,11,11,9,346,2/38,59.3,38.44,3.88,0,0,1996,2003
AS Luseno,Kenya,10,10,9,316,4/32,36.6,35.11,5.74,1,0,2003,2010
MW Machan,Scotland,23,16,9,384,3/31,44.6,42.66,5.73,0,0,2013,2016
CS MacLeod,Scotland,66,31,9,694,2/26,85.5,77.11,5.4,0,0,2008,2019
Mohammad Kashif,Netherlands,11,11,9,410,3/42,50.0,45.55,5.46,0,0,2006,2010
Mohammad Shahzad,UAE,6,6,9,233,4/26,26.6,25.88,5.82,1,0,2014,2016
Mohammad Tauqir,UAE,11,11,9,383,2/38,54.5,42.55,4.68,0,0,2004,2015
DT Mutendera,Zimbabwe,9,9,9,334,3/23,43.3,37.11,5.13,0,0,1999,2001
JL Ontong,South Africa,28,16,9,396,3/30,59.7,44.0,4.41,0,0,2001,2012
CAK Rajitha,Sri Lanka,9,9,9,379,2/17,39.2,42.11,6.44,0,0,2018,2019
TG Shaw,South Africa,9,9,9,298,2/19,56.0,33.11,3.54,0,0,1991,1994
TAM Siriwardana,Sri Lanka,27,21,9,547,2/27,66.7,60.77,5.46,0,0,2015,2019
Soumya Sarkar,Bangladesh,55,14,9,318,3/56,36.0,35.33,5.88,0,0,2014,2019
S Sriram,India,8,8,9,274,3/43,36.0,30.44,5.07,0,0,2000,2004
CAH Stevenson,USA,4,4,9,149,3/22,20.6,16.55,4.8,0,0,2019,2019
ML Su'a,New Zealand,12,12,9,367,4/59,51.4,40.77,4.75,1,0,1992,1995
BRM Taylor,Zimbabwe,193,21,9,406,3/54,44.0,45.11,6.15,0,0,2004,2019
SD Udal,England,11,11,9,400,2/37,68.0,44.44,3.92,0,0,1994,2005
RM West,Ireland,10,9,9,279,4/26,49.6,31.0,3.74,1,0,2008,2009
D Wiese,South Africa,6,6,9,316,3/50,32.6,35.11,6.44,0,0,2015,2016
HS Williams,South Africa,7,7,9,228,3/38,36.5,25.33,4.15,0,0,1999,2000
KOK Williams,West Indies,8,7,9,293,4/43,36.6,32.55,5.32,1,0,2017,2018
B Wood,England,13,10,9,224,2/14,46.6,24.88,3.2,0,0,1972,1982
RA Woolmer,England,6,6,9,260,3/33,35.6,28.88,4.85,0,0,1972,1976
Abdur Rauf,Pakistan,4,4,8,212,3/24,26.7,26.5,5.94,0,0,2008,2008
RG Aga,Kenya,12,11,8,320,2/17,50.2,40.0,4.77,0,0,2004,2014
AC Agar,Australia,9,9,8,414,2/48,54.0,51.75,5.75,0,0,2015,2018
SL Campbell,West Indies,90,8,8,170,4/30,24.5,21.25,5.2,1,0,1994,2001
RP de Groen,New Zealand,12,12,8,478,2/34,68.6,59.75,5.22,0,0,1993,1994
Dolar Mahmud,Bangladesh,7,7,8,258,4/28,26.2,32.25,7.37,1,0,2008,2009
SF Graf,Australia,11,10,8,345,2/23,65.2,43.12,3.96,0,0,1980,1981
EJ Gray,New Zealand,10,9,8,286,2/26,48.2,35.75,4.44,0,0,1984,1988
Hasan Jamil,Pakistan,6,5,8,154,3/18,29.0,19.25,3.98,0,0,1977,1978
BC Hollioake,England,20,17,8,532,2/37,80.2,66.5,4.97,0,0,1997,2002
Irfan Ahmed,Hong Kong,6,6,8,299,3/51,36.2,37.37,6.18,0,0,2008,2014
Izatullah Dawlatzai,Afghanistan,5,5,8,146,4/38,26.2,18.25,4.17,1,0,2010,2015
DPMD Jayawardene,Sri Lanka,448,28,8,563,2/56,74.1,70.37,5.69,0,0,1998,2015
MO Jones,Bermuda,12,12,8,482,2/25,57.2,60.25,6.31,0,0,2006,2007
Junaid Siddique,UAE,3,3,8,147,3/37,21.3,18.37,5.15,0,0,2019,2019
AR Kapoor,India,17,17,8,612,2/33,112.5,76.5,4.08,0,0,1995,2000
JF Kloppenburg,Netherlands,6,6,8,191,4/42,30.2,23.87,4.73,1,0,2002,2003
MKGCP Lakshitha,Sri Lanka,7,7,8,254,2/34,37.5,31.75,5.08,0,0,2002,2003
TJ Laughlin,Australia,6,6,8,224,3/54,38.5,28.0,4.36,0,0,1978,1979
CH Lloyd,West Indies,87,10,8,210,2/4,44.7,26.25,3.51,0,0,1973,1985
ACI Lock,Zimbabwe,8,7,8,219,5/44,36.1,27.37,4.54,0,1,1996,1996
JFM Morrison,New Zealand,18,7,8,199,3/24,35.3,24.87,4.21,0,0,1975,1983
PWA Mulder,South Africa,10,10,8,308,2/59,39.7,38.5,5.81,0,0,2017,2019
Naved Anjum,Pakistan,13,12,8,344,2/27,59.0,43.0,4.37,0,0,1984,1992
Nawroz Mangal,Afghanistan,49,16,8,235,3/35,36.6,29.37,4.81,0,0,2009,2016
R Ngarava,Zimbabwe,9,9,8,409,2/37,47.1,51.12,6.5,0,0,2017,2018
A Nortje,South Africa,4,4,8,150,3/57,23.6,18.75,4.76,0,0,2019,2019
NM Odhiambo,Kenya,8,7,8,256,3/48,39.7,32.0,4.83,0,0,2010,2013
SG Peall,Zimbabwe,21,19,8,678,3/54,112.5,84.75,4.52,0,0,1992,1996
V Permaul,West Indies,7,7,8,271,3/40,41.3,33.87,4.91,0,0,2012,2017
MW Priest,New Zealand,18,17,8,590,2/27,94.0,73.75,4.7,0,0,1990,1998
Qadeer Ahmed,UAE,11,11,8,467,2/38,64.5,58.37,5.43,0,0,2015,2019
HP Rinke,Zimbabwe,18,12,8,273,2/11,34.6,34.12,5.91,0,0,2006,2006
GR Robertson,Australia,13,13,8,430,3/29,74.6,53.75,4.32,0,0,1994,1998
GA Rogers,Scotland,13,11,8,409,2/22,64.0,51.12,4.79,0,0,2006,2008
BM Scholtz,Namibia,5,5,8,131,4/27,28.0,16.37,3.5,1,0,2019,2019
RG Sharma,India,221,38,8,515,2/27,74.1,64.37,5.21,0,0,2007,2019
AM Stuart,Australia,3,3,8,109,5/26,22.5,13.62,3.63,0,1,1997,1997
CEL Stuart,West Indies,5,5,8,205,5/44,32.2,25.62,4.76,0,1,2001,2001
SR Taylor,USA,9,7,8,170,4/23,28.6,21.25,4.45,1,0,2019,2019
SN Thakur,India,7,7,8,339,4/52,40.3,42.37,6.29,1,0,2017,2019
JD Unadkat,India,7,7,8,209,4/41,39.0,26.12,4.01,1,0,2013,2013
T van der Gugten,Netherlands,4,4,8,85,5/24,15.7,10.62,4.04,0,1,2012,2013
RJ van Vuuren,Namibia,5,5,8,298,5/43,37.5,37.25,5.96,0,1,2003,2003
BGK Walker,New Zealand,11,11,8,417,2/43,54.7,52.12,5.71,0,0,2000,2002
B Warnapura,Sri Lanka,12,9,8,316,3/42,51.7,39.5,4.57,0,0,1975,1982
VJ Wells,England,9,8,8,189,3/30,27.5,23.62,5.15,0,0,1999,1999
BM Wheeler,New Zealand,6,6,8,315,3/63,38.6,39.37,6.11,0,0,2015,2015
SG Whittingham,Scotland,5,5,8,224,3/58,31.3,28.0,5.35,0,0,2017,2019
RGCE Wijesuriya,Sri Lanka,8,8,8,287,2/25,39.0,35.87,5.51,0,0,1982,1985
NS Yadav,India,7,7,8,228,2/18,41.2,28.5,4.14,0,0,1986,1987
S Abid Ali,India,5,5,7,187,2/22,48.0,26.71,3.33,0,0,1974,1975
Aminul Islam,Bangladesh,39,19,7,411,3/57,58.8,58.71,5.98,0,0,1988,2002
Asif Mujtaba,Pakistan,66,28,7,658,2/38,108.0,94.0,5.22,0,0,1986,1996
KBJ Azad,India,25,11,7,273,2/48,55.7,39.0,4.2,0,0,1980,1986
SB Bangar,India,15,14,7,384,2/39,63.1,54.85,5.21,0,0,2002,2004
OAC Banks,West Indies,5,5,7,189,2/24,38.5,27.0,4.2,0,0,2003,2005
BS Bedi,India,10,10,7,340,2/44,84.2,48.57,3.45,0,0,1974,1979
RE Bryson,South Africa,7,7,7,323,2/34,54.0,46.14,5.12,0,0,1997,1997
RP Burl,Zimbabwe,18,10,7,207,4/32,30.0,29.57,5.91,1,0,2017,2019
BE Congdon,New Zealand,11,10,7,287,2/17,62.4,41.0,3.94,0,0,1973,1978
GJ Crocker,Zimbabwe,6,6,7,208,4/26,34.0,29.71,5.24,1,0,1992,1993
AB de Villiers,South Africa,228,9,7,202,2/15,27.4,28.85,6.31,0,0,2005,2018
DAG Fletcher,Zimbabwe,6,6,7,221,4/42,43.0,31.57,4.4,1,0,1983,1983
AS Hansra,Canada,24,18,7,413,3/27,63.5,59.0,5.56,0,0,2010,2014
CW Henderson,South Africa,4,4,7,132,4/17,31.0,18.85,3.64,1,0,2001,2001
MC Henriques,Australia,11,10,7,306,3/32,50.5,43.71,5.18,0,0,2009,2017
AG Huckle,Zimbabwe,19,18,7,661,2/27,122.5,94.42,4.62,0,0,1997,1999
Javed Miandad,Pakistan,233,12,7,297,2/22,62.2,42.42,4.08,0,0,1975,1996
SP Jones,England,8,7,7,275,2/43,49.7,39.28,4.74,0,0,2004,2005
Kamran Shazad,UAE,4,4,7,209,3/41,31.7,29.85,5.64,0,0,2014,2015
JJ Krejza,Australia,8,8,7,331,2/28,60.7,47.28,4.67,0,0,2011,2011
Krishna Chandran,UAE,12,11,7,431,3/45,59.7,61.57,6.18,0,0,2014,2016
ML Lewis,Australia,7,7,7,391,3/56,48.7,55.85,6.87,0,0,2005,2006
Mahbubul Alam,Bangladesh,5,5,7,280,2/42,31.7,40.0,7.56,0,0,2009,2009
B Mavuta,Zimbabwe,7,7,7,266,2/30,39.4,38.0,5.78,0,0,2018,2019
Mominul Haque,Bangladesh,28,12,7,190,2/13,33.4,27.14,4.87,0,0,2012,2018
EA Moseley,West Indies,9,8,7,278,2/52,47.1,39.71,5.05,0,0,1990,1991
C Munro,New Zealand,57,25,7,481,2/10,78.8,68.71,5.22,0,0,2013,2019
T Muzarabani,Zimbabwe,8,8,7,262,2/32,46.1,37.42,4.86,0,0,2015,2016
AK Patel,India,8,6,7,263,3/43,51.4,37.57,4.38,0,0,1984,1985
NK Patel,USA,6,5,7,101,2/11,18.8,14.42,4.59,0,0,2019,2019
KP Pietersen,England,136,23,7,370,2/22,57.1,52.85,5.55,0,0,2004,2013
AM Samad,Canada,27,14,7,281,1/8,33.5,40.14,7.17,0,0,2003,2009
KD Shah,Hong Kong,10,3,7,79,4/10,15.7,11.28,4.3,1,0,2014,2018
OA Shah,England,71,10,7,184,3/15,27.5,26.28,5.72,0,0,2001,2009
Shahid Mahboob,Pakistan,10,10,7,382,1/23,77.1,54.57,4.24,0,0,1982,1984
BB Sran,India,6,6,7,269,3/56,43.1,38.42,5.34,0,0,2016,2016
B Stanlake,Australia,7,7,7,324,3/35,50.5,46.28,5.49,0,0,2017,2019
GB Stevenson,England,4,4,7,125,4/33,27.4,17.85,3.9,1,0,1980,1981
CP Tremain,Australia,4,4,7,255,3/64,34.2,36.42,6.37,0,0,2016,2016
TE Tucker,Bermuda,5,5,7,157,4/56,24.8,22.42,5.41,1,0,2008,2009
SL Watkin,England,4,4,7,193,4/49,31.5,27.57,5.23,1,0,1994,1994
B Yardley,Australia,7,5,7,130,3/28,28.2,18.57,3.93,0,0,1978,1983
Zaheer Abbas,Pakistan,62,12,7,223,2/26,40.0,31.85,4.77,0,0,1974,1985
Zeeshan Maqsood,Oman,5,5,7,147,3/35,37.7,21.0,3.34,0,0,2019,2019
Aqib Ilyas,Oman,5,5,6,80,2/32,23.0,13.33,3.47,0,0,2019,2019
Athar Ali Khan,Bangladesh,19,15,6,365,2/33,70.0,60.83,5.21,0,0,1988,1998
ID Austin,England,9,9,6,360,2/25,79.1,60.0,4.54,0,0,1998,1999
Azhar Saeed,UAE,7,7,6,213,3/45,45.1,35.5,4.71,0,0,1994,1996
IR Bell,England,161,6,6,88,3/9,14.6,14.66,6.0,0,0,2004,2015
Bilawal Bhatti,Pakistan,10,10,6,439,3/37,68.1,73.16,6.44,0,0,2013,2015
GE Bradburn,New Zealand,11,10,6,318,2/18,64.1,53.0,4.95,0,0,1990,2001
LJ Burger,Namibia,6,6,6,297,3/39,55.0,49.5,5.4,0,0,2003,2003
N Deonarine,West Indies,31,20,6,475,2/18,83.5,79.16,5.68,0,0,2005,2015
LHD Dilhara,Sri Lanka,9,8,6,261,2/30,55.0,43.5,4.74,0,0,2005,2013
SF Dukanwala,UAE,5,4,6,153,5/29,33.0,25.5,4.63,0,1,1996,1996
Fahad Alhashmi,UAE,5,5,6,202,2/39,37.3,33.66,5.41,0,0,2008,2015
KHRK Fernando,Sri Lanka,7,7,6,159,3/12,39.0,26.5,4.07,0,0,2002,2006
SC Getkate,Ireland,3,3,6,120,2/30,27.0,20.0,4.44,0,0,2019,2019
JOA Gordon,Canada,5,5,6,191,3/26,34.0,31.83,5.61,0,0,2012,2014
MD Gunathilaka,Sri Lanka,38,18,6,296,3/48,51.0,49.33,5.8,0,0,2015,2019
RO Hinds,West Indies,14,12,6,350,2/19,67.8,58.33,5.15,0,0,2001,2004
Imran Farhat,Pakistan,58,8,6,110,3/10,19.3,18.33,5.68,0,0,2001,2013
MMA Jonkman,Netherlands,4,4,6,113,3/22,22.6,18.83,4.98,0,0,2007,2010
Karim Sadiq,Afghanistan,24,12,6,201,2/10,53.3,33.5,3.76,0,0,2009,2016
J Kila,Papua New Guinea,6,6,6,135,3/27,33.1,22.5,4.07,0,0,2018,2019
PN Kirsten,South Africa,40,8,6,152,3/31,30.5,25.33,4.98,0,0,1991,1994
BP Loots,Netherlands,7,7,6,287,3/16,46.6,47.83,6.15,0,0,2010,2011
PE McEwan,New Zealand,17,10,6,353,2/29,70.0,58.83,5.04,0,0,1980,1985
SCG MacGill,Australia,3,3,6,105,4/19,30.0,17.5,3.5,1,0,2000,2000
KA Maharaj,South Africa,4,4,6,166,3/25,31.1,27.66,5.32,0,0,2017,2018
KO Meth,Zimbabwe,11,9,6,419,2/52,67.6,69.83,6.19,0,0,2006,2012
PL Mommsen,Scotland,44,6,6,130,3/26,22.0,21.66,5.9,0,0,2010,2017
CT Mutombodzi,Zimbabwe,11,9,6,278,2/33,51.8,46.33,5.36,0,0,2013,2015
Naveen-ul-Haq,Afghanistan,4,4,6,201,3/60,35.3,33.5,5.68,0,0,2016,2019
EO Odumbe,Kenya,8,7,6,137,2/8,22.8,22.83,6.0,0,0,1996,1996
TK Patel,USA,5,4,6,114,2/25,32.0,19.0,3.56,0,0,2019,2019
MJR Rindel,South Africa,22,12,6,242,2/15,45.0,40.33,5.37,0,0,1994,1999
GK Robertson,New Zealand,10,10,6,321,2/29,83.0,53.5,3.86,0,0,1981,1989
BG Rogers,Zimbabwe,15,9,6,321,2/55,54.0,53.5,5.94,0,0,2002,2005
Saeed Anwar,Pakistan,247,13,6,191,2/9,40.3,31.83,4.73,0,0,1989,2003
Saiful Islam,Bangladesh,7,7,6,256,4/36,50.5,42.66,5.06,1,0,1990,1997
R Sharma,India,4,4,6,177,3/43,34.3,29.5,5.15,0,0,2011,2012
